,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
thatgirljaycole,0.028351238,0.09417421,0.07313609,0.047591783,0.1871741,0.08529566,0.26689407,0.037352152,0.045670703,0.13435997
thecameronboyce,0.028748272,0.10754579,0.0740047,0.048261788,0.1443457,0.085749775,0.30012473,0.037876498,0.046312347,0.12703036
thehughjackman,0.030082809,0.11253825,0.07744011,0.05050217,0.13556837,0.089730404,0.29857817,0.039634783,0.04846223,0.11746268
thekenyamoore,0.027922185,0.11881774,0.071878165,0.061241094,0.15456235,0.083285734,0.29149687,0.03678811,0.04498155,0.10902621
therealkylesister,0.030557001,0.09858663,0.07865884,0.067014016,0.13770054,0.09114231,0.27182814,0.05597665,0.049225554,0.11931029
therealmaryjblige,0.027527671,0.117122434,0.07086101,0.04621187,0.13821271,0.09627056,0.27320755,0.03626804,0.07267277,0.12164536
theshaderoom,0.029284526,0.09448337,0.07538472,0.04916182,0.1470362,0.08734875,0.28701437,0.038582947,0.07735846,0.114344805
timtebow,0.026771167,0.10014182,0.09644893,0.058713894,0.14816989,0.07984675,0.30698797,0.0352708,0.04312596,0.1045228
todderic_,0.031043904,0.10016049,0.0799142,0.052115634,0.15587057,0.09259714,0.2761711,0.040901046,0.05001052,0.12121542
tommiee_,0.045563105,0.09706436,0.07744391,0.05050465,0.13557501,0.105213515,0.2830657,0.039636727,0.048464615,0.11746845
toochi_kash,0.026771322,0.08637089,0.0826678,0.044941407,0.13440087,0.07984912,0.26567364,0.035271272,0.11198337,0.13207032
toribrixx,0.031044256,0.116121516,0.07991509,0.05211622,0.13990113,0.092598185,0.27617422,0.04090151,0.050011083,0.12121679
toyawright,0.02829336,0.10582522,0.087381825,0.047493905,0.12748428,0.098933116,0.28223726,0.037275642,0.07461572,0.11045965
trevornoah,0.027568934,0.088936634,0.08514352,0.046277758,0.1242198,0.09640601,0.32890716,0.050499752,0.044410016,0.1076304
twan,0.03104497,0.10016092,0.09588246,0.05211639,0.13989945,0.09259774,0.27616882,0.040902082,0.050011635,0.12121551
tylerbaltierramtv,0.043161582,0.11250551,0.054752786,0.057588235,0.12891845,0.07438418,0.37206542,0.02802558,0.0451598,0.083438456
tyleroakley,0.061132327,0.08506346,0.07202812,0.07462214,0.12091995,0.09120796,0.30655888,0.036618743,0.042487703,0.10936074
tylerrjoseph,0.030555906,0.098586,0.07865797,0.051296394,0.15342014,0.09114155,0.2875496,0.0402581,0.049224373,0.11930996
tyrabanks,0.039990366,0.12595105,0.067972675,0.044328034,0.1325807,0.09234378,0.30281875,0.034789234,0.042537488,0.116687916
vanilladingdong,0.044194788,0.09414921,0.07511838,0.04898832,0.14650114,0.087039985,0.27460623,0.038447082,0.047009874,0.143945
victoriajustice,0.028332068,0.091406085,0.08750584,0.062124904,0.12766917,0.08450372,0.2811681,0.037327554,0.04564155,0.15432096
vinnyguadagnino,0.030565102,0.09861562,0.0943998,0.051311813,0.13774173,0.091168925,0.27191135,0.04027021,0.049239177,0.13477625
virginia,0.03154973,0.101786286,0.08121214,0.05296267,0.1421689,0.09410058,0.28064674,0.041566726,0.05082414,0.12318207
voguemagazine,0.027928209,0.12583965,0.075268485,0.059387475,0.13995293,0.10160277,0.28723252,0.024295984,0.06752663,0.09096535
winnieharlow,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
wolfiecindy,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
yarashahidi,0.030847756,0.103100725,0.07940769,0.051785436,0.13901155,0.094957665,0.29009733,0.04064234,0.049694143,0.12045541
yoventura,0.03154775,0.101786114,0.08121122,0.05296148,0.14217015,0.09410001,0.28065342,0.041564878,0.050822202,0.12318277
zionlw10,0.022710474,0.09660767,0.09350668,0.04980736,0.137268,0.13782093,0.24873753,0.029920576,0.03658407,0.14703666
_colebennett_,0.024113117,0.090200335,0.07447382,0.04047906,0.14587757,0.121544935,0.32614392,0.03176906,0.038844686,0.10655351
_emmachamberlain,0.029625386,0.09558376,0.0762626,0.04973426,0.13350697,0.08836601,0.2940365,0.05423995,0.047725342,0.13091925
adele,0.029624317,0.09558032,0.07625985,0.049732473,0.13350217,0.08836283,0.32451123,0.039030712,0.04772362,0.11567244
arianagrande,0.04214277,0.077700645,0.10670301,0.06693214,0.1256509,0.08332675,0.27016145,0.038054883,0.06552533,0.1238021
